source,target,relation,weight,label
chemical:7849,gene:6726,chem_gene,5.0,"affects, decreases"
chemical:733,gene:3884,chem_gene,5.0,"affects, decreases"
chemical:1430,gene:2377,chem_gene,5.0,"affects, increases"
chemical:7849,gene:6503,chem_gene,4.0,"affects, decreases"
chemical:4455,gene:2743,chem_gene,4.0,"affects, decreases"
chemical:4455,gene:5686,chem_gene,4.0,"affects, decreases"
chemical:4095,gene:3884,chem_gene,4.0,"decreases, increases"
chemical:1430,gene:6726,chem_gene,4.0,"affects, increases"
chemical:7849,gene:2743,chem_gene,4.0,"affects, increases"
chemical:4095,gene:2743,chem_gene,4.0,"affects, decreases"
chemical:4455,gene:6503,chem_gene,4.0,"affects, decreases"
chemical:733,gene:6503,chem_gene,4.0,"affects, increases"
chemical:4095,gene:6726,chem_gene,4.0,"affects, increases"
chemical:4095,gene:5686,chem_gene,4.0,"affects, decreases"
chemical:7849,gene:5686,chem_gene,4.0,"affects, increases"
chemical:4095,gene:2377,chem_gene,3.0,decreases
chemical:4455,gene:2377,chem_gene,3.0,"affects, decreases"
chemical:2662,disease:1766,chem_disease,1.0,""
chemical:2786,disease:1766,chem_disease,1.0,""
chemical:7158,disease:1766,chem_disease,1.0,""
chemical:4646,disease:1766,chem_disease,1.0,""
chemical:2496,disease:1766,chem_disease,1.0,""
chemical:1535,disease:1766,chem_disease,1.0,""
disease:1766,gene:6503,disease_gene,1.0,""
disease:1766,gene:5686,disease_gene,1.0,""
disease:1766,gene:219,disease_gene,1.0,""
disease:1766,gene:3420,disease_gene,1.0,""
disease:1766,gene:7437,disease_gene,1.0,""
disease:1766,gene:6977,disease_gene,1.0,""
chemical:2786,gene:6503,chem_gene,5.0,"affects, decreases"
chemical:7158,gene:6503,chem_gene,5.0,"affects, decreases"
chemical:2786,gene:5686,chem_gene,5.0,"affects, decreases"
chemical:2662,gene:6503,chem_gene,5.0,"affects, decreases"
chemical:7158,gene:5686,chem_gene,5.0,"affects, decreases"
chemical:2786,gene:219,chem_gene,4.0,"affects, decreases"
chemical:7158,gene:3420,chem_gene,4.0,"affects, decreases"
chemical:2786,gene:3420,chem_gene,4.0,"affects, decreases"
chemical:2786,gene:6977,chem_gene,4.0,"decreases, increases"
chemical:7158,gene:219,chem_gene,4.0,"affects, decreases"
chemical:4646,gene:7437,chem_gene,3.0,"affects, decreases"
chemical:4646,gene:5686,chem_gene,3.0,"affects, decreases"
chemical:2496,gene:6977,chem_gene,3.0,"affects, decreases"
chemical:2662,gene:219,chem_gene,3.0,affects
chemical:2786,gene:7437,chem_gene,3.0,"affects, decreases"
chemical:4646,gene:219,chem_gene,3.0,"affects, decreases"
chemical:2662,gene:6977,chem_gene,3.0,affects
chemical:2496,gene:5686,chem_gene,3.0,"affects, decreases"
